id;product_name;product_id;product_description;product_image
1;Generic Steel Tuna;53676;Assistant;South Dakota monetize Principal
2;virtual wireless Computer;76146;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division
3;Steel;59460;withdrawal navigating Metical;Incredible Infrastructure
4;Internal compressing;55080;initiative green;Malagasy Ariary Gloves
5;Drive neutral;4329;Bike;digital
6;Oklahoma;95238;orange Security;Data Identity
7;Dynamic auxiliary;85535;COM Personal Loan Account yellow;Cape Verde
8;intangible homogeneous;66238;Rubber CSS;Bike Keyboard Tunnel
9;Ergonomic Concrete Ball SMS;62192;methodical;quantifying Cheese rich
10;South Dakota Underpass virtual;79521;hacking;efficient
