id;id_ticket;id_user;created;closed;close_by_user_id;product_id;userid_id
1;74562;34742;2020-09-23T18:38:29;2020-09-24T07:08:07;840;42945;2
2;85695;68523;2020-09-24T05:19:12;2020-09-24T06:59:28;70639;87155;1
3;8656;12415;2020-09-24T00:55:27;2020-09-23T13:33:46;41034;76145;2
4;43;97460;2020-09-23T22:50:06;2020-09-23T15:44:33;7943;95176;2
5;70362;21476;2020-09-24T10:26:48;2020-09-23T17:05:26;63587;48733;2
6;83757;67942;2020-09-23T22:23:00;2020-09-24T11:42:27;27325;36297;1
7;40900;57707;2020-09-24T09:26:40;2020-09-24T06:53:38;26359;63177;2
8;97299;40979;2020-09-24T12:10:33;2020-09-24T08:48:21;72918;33367;1
9;30246;36169;2020-09-23T14:35:46;2020-09-23T18:37:05;10746;92734;1
10;42769;62949;2020-09-24T08:31:20;2020-09-24T12:08:27;57016;90;1
