id;id_comment;id_ticket;id_user;content;created;ticketid_id
1;55301;29197;60085;Granite indigo;2020-09-24T07:57:38;1
2;94102;81685;77210;executive;2020-09-24T03:17:22;2
3;1845;11471;8942;HDD Fresh Tools;2020-09-24T00:56:01;3
4;80675;91879;77814;Falls Quality Iowa;2020-09-24T11:49:51;4
5;55562;71384;55234;hack Dynamic;2020-09-24T10:23:08;5
6;8122;53650;84925;initiatives IB;2020-09-24T06:56:49;6
7;69647;83109;37656;firewall dot-com;2020-09-23T18:17:12;7
8;84816;76829;61440;orchestration withdrawal multi-byte;2020-09-23T20:40:03;8
9;58579;36322;65078;asynchronous Generic Soft Chicken;2020-09-24T11:04:14;9
10;1964;59522;36128;optical;2020-09-23T22:21:10;10
