id;id_comment;id_ticket;id_user;content;created;ticketid_id
1;55301;29197;60085;Granite indigo;2020-09-29T20:09:43;1
2;94102;81685;77210;executive;2020-09-29T15:29:27;2
3;1845;11471;8942;HDD Fresh Tools;2020-09-29T13:08:06;3
4;80675;91879;77814;Falls Quality Iowa;2020-09-30T00:01:56;4
5;55562;71384;55234;hack Dynamic;2020-09-29T22:35:13;5
6;8122;53650;84925;initiatives IB;2020-09-29T19:08:54;6
7;69647;83109;37656;firewall dot-com;2020-09-29T06:29:17;7
8;84816;76829;61440;orchestration withdrawal multi-byte;2020-09-29T08:52:08;8
9;58579;36322;65078;asynchronous Generic Soft Chicken;2020-09-29T23:16:19;9
10;1964;59522;36128;optical;2020-09-29T10:33:15;10
